Sheet,계층1,계층2,계층3,계층4,계층5,계층6,계층7,계층8,설명,Level,Section,Item,Key,Description,Priority,Source,Category,Element,Value / Spec,Field
Index,,,,,,,,,,1.0,Toolbar,Sort,sort,"Sort by Date Created, 24h Change %, 1W Change %, A→Z, Lowest MDD",Required,Derived,,,,
Index,,,,,,,,,,1.0,Toolbar,Filter,filter,Toggle Active / Redeemed,Required,Directory/Engine,,,,
Index,,,,,,,,,,1.0,Cards Grid,Card,,Each card summarizes an index and key market stats,,,,,,
Index,,,,,,,,,,2.0,Cards Grid,Identity,,Identity block on top-left of the card,,,,,,
Index,,,,,,,,,,3.0,Cards Grid,Name,name,Index display name,Required,Directory,,,,
Index,,,,,,,,,,3.0,Cards Grid,Symbol,symbol,Ticker/short symbol,Required,Directory,,,,
Index,,,,,,,,,,2.0,Cards Grid,Market Metrics,,Live market stats,,,,,,
Index,,,,,,,,,,3.0,Cards Grid,Current Price,markPx,Latest mark price for the index token,Required,Market API,,,,
Index,,,,,,,,,,3.0,Cards Grid,24h Volume,dayNtlVlm,Notional traded in last 24h,Required,Market API,,,,
Index,,,,,,,,,,3.0,Cards Grid,Open Interest,openInterest,Total open interest (notional),Required,Market API,,,,
Index,,,,,,,,,,3.0,Cards Grid,Max Leverage,maxLeverage,Maximum leverage allowed,Required,Market/Config API,,,,
Index,,,,,,,,,,3.0,Cards Grid,24h Change %,change24hPct,Percentage change over last 24 hours,Required,Derived (price history),,,,
Index,,,,,,,,,,3.0,Cards Grid,1W Change %,change1wPct,Percentage change over last 7 days,Required,Derived (price history),,,,
Index,,,,,,,,,,3.0,Cards Grid,Funding Rate,funding,Current funding rate (hourly/8h basis depending on market),Recommended,Market API,,,,
Index,,,,,,,,,,3.0,Cards Grid,Premium,premium,Premium/discount vs. underlying basket NAV,Recommended,Derived,,,,
Index,,,,,,,,,,3.0,Cards Grid,Impact Price,impactPxs,"Estimated execution price for a standard order size (e.g., $10k)",Recommended,Orderbook/Quote API,,,,
Index,,,,,,,,,,3.0,Cards Grid,Funding History,fundingHistory,"Recent funding rate snapshots (e.g., 8h x last 7 days)",Recommended,Market API,,,,
Index,,,,,,,,,,3.0,Cards Grid,Liquidation Threshold,liqThreshold,Approx. liquidation threshold (if applicable to leveraged index token),Recommended,Risk/Config API,,,,
Index,,,,,,,,,,2.0,Cards Grid,Actions,,Primary actions on the card bottom-right,,,,,,
Index,,,,,,,,,,3.0,Cards Grid,Details,action:details,Open details modal,Required,,,,,
Index,,,,,,,,,,3.0,Cards Grid,Redeem,action:redeem,Burn & refund to USDC (partial/full),Required,Engine/Corewriter,,,,
Index,,,,,,,,,,3.0,Cards Grid,Share,action:share,Copy public link,Optional,,,,,
Index,,,,,,,,,,1.0,Details Modal,Overview,,High-level index info,,,,,,
Index,,,,,,,,,,2.0,Details Modal,Header,,"Name, Symbol, Status badge (Active/Redeemed)",Required,Directory/Engine,,,,
Index,,,,,,,,,,2.0,Details Modal,Chart,chart,Performance chart with 7D / 1M toggles; show Return % and MDD,Required,Derived (history),,,,
Index,,,,,,,,,,2.0,Details Modal,Composition,composition,Constituents with weight and leverage; simple change log,Required,Engine/Directory,,,,
Index,,,,,,,,,,2.0,Details Modal,Market & Risk,,Deeper market data and risk metrics,,,,,,
Index,,,,,,,,,,3.0,Details Modal,Current Price,markPx,Latest mark price,Required,Market API,,,,
Index,,,,,,,,,,3.0,Details Modal,Funding Rate,funding,Current funding rate with next funding countdown if available,Recommended,Market API,,,,
Index,,,,,,,,,,3.0,Details Modal,Funding History,fundingHistory,Time series of funding rates,Recommended,Market API,,,,
Index,,,,,,,,,,3.0,Details Modal,Premium,premium,Premium/discount vs. NAV,Recommended,Derived,,,,
Index,,,,,,,,,,3.0,Details Modal,Impact Price,impactPxs,Execution price estimate for standard order sizes,Recommended,Orderbook/Quote API,,,,
Index,,,,,,,,,,3.0,Details Modal,Liquidation Threshold,liqThreshold,Approx. liquidation threshold or risk bands,Recommended,Risk/Config API,,,,
Index,,,,,,,,,,2.0,Details Modal,KPIs,,Optional KPIs if we have data,,,,,,
Index,,,,,,,,,,3.0,Details Modal,Since Inception Return %,returnSinceInceptionPct,Cumulative return since launch,Optional,Derived,,,,
Index,,,,,,,,,,3.0,Details Modal,Market Cap,marketCap,Market capitalization of the index token,Optional,Derived,,,,
Index,,,,,,,,,,3.0,Details Modal,NAV,nav,Net Asset Value of the index,Optional,Derived,,,,
Index,,,,,,,,,,1.0,Redeem Modal,Controls,,Redeem/burn the index and refund USDC,,,,,,
Index,,,,,,,,,,2.0,Redeem Modal,Amount,amount,Partial or full redemption,Required,Engine,,,,
Index,,,,,,,,,,2.0,Redeem Modal,Slippage Tolerance,slippage,Optional slippage limit,Optional,Derived/Quote,,,,
Index,,,,,,,,,,2.0,Redeem Modal,Summary,summary,"Est. refund, fees, steps",Required,Quote/Engine,,,,
Index,,,,,,,,,,2.0,Redeem Modal,Risk Acknowledgment,riskAck,Checkbox to confirm risks,Required,,,,,
Index,,,,,,,,,,2.0,Redeem Modal,CTA,action:confirmRedeem,Confirm Redeem button,Required,Engine/Corewriter,,,,
Index,,,,,,,,,,2.0,Redeem Modal,Stepper,steps,Close Position → Burn → Transfer,Optional,Engine,,,,
Index,,,,,,,,,,1.0,Empty State,Message + CTA,,No indexes yet → Create New,Required,,,,,
Index,,,,,,,,,,1.0,Footer,Disclaimer,,Risk Disclaimer / Terms (light mint-gray),Optional,,,,,
Admin Page,Admin Page,,,,,,,,,,,,,,,,,,,
Admin Page,,Launch test,,,,,,,비슷하게 하되 디자인 신경안쓰고 욱여넣기 레이아웃만 같게,,,,,,,,,,,
Admin Page,,Index Test,,,,,,,비슷하게 하되 디자인 신경안쓰고 욱여넣기 레이아웃만 같게,,,,,,,,,,,
Style Guide,,,,,,,,,,,,,,,,,Color,Background,#072723 (Dark Teal),
Style Guide,,,,,,,,,,,,,,,,,Color,Primary Accent,#98FCE4 (Soft Mint),
Style Guide,,,,,,,,,,,,,,,,,Color,Secondary Accent,#D7EAE8 (Light Mint-Gray),
Style Guide,,,,,,,,,,,,,,,,,Color,Primary Text,#FFFFFF (White),
Style Guide,,,,,,,,,,,,,,,,,Color,Secondary Text,#A0B5B2 (Muted Gray),
Style Guide,,,,,,,,,,,,,,,,,Font,Primary Font,"Inter (Bold for titles/buttons, Medium for headers, Regular for body)",
Style Guide,,,,,,,,,,,,,,,,,Button,Primary,"Background #98FCE4, Text #072723, Radius 12px",
Style Guide,,,,,,,,,,,,,,,,,Button,Secondary,"Transparent background, Mint-gray border/text, Radius 12px",
Style Guide,,,,,,,,,,,,,,,,,Icon,Style,"Simple line icons (Lucide/Feather), no emojis",
Style Guide,,,,,,,,,,,,,,,,,Chart,Line,Mint line (#98FCE4),
Style Guide,,,,,,,,,,,,,,,,,Chart,Fill,Mint overlay with 20–30% opacity,
Index Cards – Fields,,,,,,,,,,,,,name,Index display name,Required,Directory / Metadata,,,,Name
Index Cards – Fields,,,,,,,,,,,,,symbol,Ticker / short symbol,Required,Directory / Metadata,,,,Symbol
Index Cards – Fields,,,,,,,,,,,,,markPx,Latest mark price for the index token,Required,Market API,,,,Current Price
Index Cards – Fields,,,,,,,,,,,,,dayNtlVlm,Notional traded in last 24h,Required,Market API,,,,24h Volume
Index Cards – Fields,,,,,,,,,,,,,openInterest,Open interest (notional) on the index,Required,Market API,,,,Open Interest
Index Cards – Fields,,,,,,,,,,,,,maxLeverage,Maximum leverage allowed for the index,Required,Market/Config API,,,,Max Leverage
Index Cards – Fields,,,,,,,,,,,,,change24hPct,Percentage change over last 24 hours,Required,Derived (markPx history),,,,24h Change %
Index Cards – Fields,,,,,,,,,,,,,change1wPct,Percentage change over last 7 days,Required,Derived (markPx history),,,,1W Change %
Index Cards – Fields,,,,,,,,,,,,,funding,Current funding rate,Recommended,Market API,,,,Funding Rate
Index Cards – Fields,,,,,,,,,,,,,premium,Premium/discount vs underlying basket,Recommended,Derived,,,,Premium
Index Cards – Fields,,,,,,,,,,,,,impactPxs,Estimated execution price given order size,Recommended,Market/Orderbook API,,,,Impact Price
Index Cards – Fields,,,,,,,,,,,,,fundingHistory,Historical funding rates,Recommended,Market API,,,,Funding History
Index Cards – Fields,,,,,,,,,,,,,liqThreshold,Approx. liquidation threshold if applicable,Recommended,Risk/Config API,,,,Liquidation Threshold
Index Details – Fields,,,,,,,,,,,,,nav,Net Asset Value of the index,Optional,Derived,,,,NAV
Index Details – Fields,,,,,,,,,,,,,marketCap,Index token market capitalization,Optional,Derived,,,,Market Cap
Index Details – Fields,,,,,,,,,,,,,composition,Constituents with weight and leverage,Required,Directory / Engine,,,,Composition
Index Details – Fields,,,,,,,,,,,,,returnSinceInceptionPct,Cumulative return since launch,Recommended,Derived (history),,,,Return (Since Inception)
Index Details – Fields,,,,,,,,,,,,,markPx,Latest mark price,Required,Market API,,,,Current Price
Index Details – Fields,,,,,,,,,,,,,funding,Current funding rate,Recommended,Market API,,,,Funding Rate
Index Details – Fields,,,,,,,,,,,,,fundingHistory,Historical funding rates,Recommended,Market API,,,,Funding History
Index Details – Fields,,,,,,,,,,,,,premium,Premium/discount vs underlying,Recommended,Derived,,,,Premium
Index Details – Fields,,,,,,,,,,,,,impactPxs,Execution price estimate,Recommended,Market/Orderbook API,,,,Impact Price
Index Details – Fields,,,,,,,,,,,,,liqThreshold,Approx. liquidation threshold if applicable,Recommended,Risk/Config API,,,,Liquidation Threshold
Index – Structured,,,,,,,,,,1.0,Header,Notch tabs: Launch | Index,,Centered notch; keep minimal height,,,,,,
Index – Structured,,,,,,,,,,2.0,Header,Connect Wallet (right),,Island-style button on the top-right,,Privy,,,,
Index – Structured,,,,,,,,,,1.0,Toolbar,Search,search,"Search by name, symbol, and description",Required,Directory,,,,
Index – Structured,,,,,,,,,,1.0,Toolbar,Sort,sort,"Sort by Date Created, 24h Change %, 1W Change %, A→Z, Lowest MDD",Required,Derived,,,,
Index – Structured,,,,,,,,,,1.0,Toolbar,Filter,filter,Toggle Active / Redeemed,Required,Directory/Engine,,,,
Index – Structured,,,,,,,,,,1.0,Cards Grid,Card,,Each card summarizes an index and key market stats,,,,,,
Index – Structured,,,,,,,,,,2.0,Cards Grid,Identity,,Identity block on top-left of the card,,,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,Name,name,Index display name,Required,Directory,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,Symbol,symbol,Ticker/short symbol,Required,Directory,,,,
Index – Structured,,,,,,,,,,2.0,Cards Grid,Market Metrics,,Live market stats,,,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,Current Price,markPx,Latest mark price for the index token,Required,Market API,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,24h Volume,dayNtlVlm,Notional traded in last 24h,Required,Market API,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,Open Interest,openInterest,Total open interest (notional),Required,Market API,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,Max Leverage,maxLeverage,Maximum leverage allowed,Required,Market/Config API,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,24h Change %,change24hPct,Percentage change over last 24 hours,Required,Derived (price history),,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,1W Change %,change1wPct,Percentage change over last 7 days,Required,Derived (price history),,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,Funding Rate,funding,Current funding rate (hourly/8h basis depending on market),Recommended,Market API,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,Premium,premium,Premium/discount vs. underlying basket NAV,Recommended,Derived,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,Impact Price,impactPxs,"Estimated execution price for a standard order size (e.g., $10k)",Recommended,Orderbook/Quote API,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,Funding History,fundingHistory,"Recent funding rate snapshots (e.g., 8h x last 7 days)",Recommended,Market API,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,Liquidation Threshold,liqThreshold,Approx. liquidation threshold (if applicable to leveraged index token),Recommended,Risk/Config API,,,,
Index – Structured,,,,,,,,,,2.0,Cards Grid,Actions,,Primary actions on the card bottom-right,,,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,Details,action:details,Open details modal,Required,,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,Redeem,action:redeem,Burn & refund to USDC (partial/full),Required,Engine/Corewriter,,,,
Index – Structured,,,,,,,,,,3.0,Cards Grid,Share,action:share,Copy public link,Optional,,,,,
Index – Structured,,,,,,,,,,1.0,Details Modal,Overview,,High-level index info,,,,,,
Index – Structured,,,,,,,,,,2.0,Details Modal,Header,,"Name, Symbol, Status badge (Active/Redeemed)",Required,Directory/Engine,,,,
Index – Structured,,,,,,,,,,2.0,Details Modal,Chart,chart,Performance chart with 7D / 1M toggles; show Return % and MDD,Required,Derived (history),,,,
Index – Structured,,,,,,,,,,2.0,Details Modal,Composition,composition,Constituents with weight and leverage; simple change log,Required,Engine/Directory,,,,
Index – Structured,,,,,,,,,,2.0,Details Modal,Market & Risk,,Deeper market data and risk metrics,,,,,,
Index – Structured,,,,,,,,,,3.0,Details Modal,Current Price,markPx,Latest mark price,Required,Market API,,,,
Index – Structured,,,,,,,,,,3.0,Details Modal,Funding Rate,funding,Current funding rate with next funding countdown if available,Recommended,Market API,,,,
Index – Structured,,,,,,,,,,3.0,Details Modal,Funding History,fundingHistory,Time series of funding rates,Recommended,Market API,,,,
Index – Structured,,,,,,,,,,3.0,Details Modal,Premium,premium,Premium/discount vs. NAV,Recommended,Derived,,,,
Index – Structured,,,,,,,,,,3.0,Details Modal,Impact Price,impactPxs,Execution price estimate for standard order sizes,Recommended,Orderbook/Quote API,,,,
Index – Structured,,,,,,,,,,3.0,Details Modal,Liquidation Threshold,liqThreshold,Approx. liquidation threshold or risk bands,Recommended,Risk/Config API,,,,
Index – Structured,,,,,,,,,,2.0,Details Modal,KPIs,,Optional KPIs if we have data,,,,,,
Index – Structured,,,,,,,,,,3.0,Details Modal,Since Inception Return %,returnSinceInceptionPct,Cumulative return since launch,Optional,Derived,,,,
Index – Structured,,,,,,,,,,3.0,Details Modal,Market Cap,marketCap,Market capitalization of the index token,Optional,Derived,,,,
Index – Structured,,,,,,,,,,3.0,Details Modal,NAV,nav,Net Asset Value of the index,Optional,Derived,,,,
Index – Structured,,,,,,,,,,1.0,Redeem Modal,Controls,,Redeem/burn the index and refund USDC,,,,,,
Index – Structured,,,,,,,,,,2.0,Redeem Modal,Amount,amount,Partial or full redemption,Required,Engine,,,,
Index – Structured,,,,,,,,,,2.0,Redeem Modal,Slippage Tolerance,slippage,Optional slippage limit,Optional,Derived/Quote,,,,
Index – Structured,,,,,,,,,,2.0,Redeem Modal,Summary,summary,"Est. refund, fees, steps",Required,Quote/Engine,,,,
Index – Structured,,,,,,,,,,2.0,Redeem Modal,Risk Acknowledgment,riskAck,Checkbox to confirm risks,Required,,,,,
Index – Structured,,,,,,,,,,2.0,Redeem Modal,CTA,action:confirmRedeem,Confirm Redeem button,Required,Engine/Corewriter,,,,
Index – Structured,,,,,,,,,,2.0,Redeem Modal,Stepper,steps,Close Position → Burn → Transfer,Optional,Engine,,,,
Index – Structured,,,,,,,,,,1.0,Empty State,Message + CTA,,No indexes yet → Create New,Required,,,,,
Index – Structured,,,,,,,,,,1.0,Footer,Disclaimer,,Risk Disclaimer / Terms (light mint-gray),Optional,,,,,
